,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
0,0,130,Fortuna Düsseldorf,Sven Backhaus,22,Germania,Libero,LIB,-,FC Energie Cottbus,Germania,175 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sven-backhaus/profil/spieler/727,"Fortuna Düsseldorf,FC Energie Cottbus"
2,2,132,Fortuna Düsseldorf,Michael Preetz,22,Germania,Punta centrale,P,-,1.FC Saarbrücken,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-preetz/profil/spieler/348,"Fortuna Düsseldorf,1.FC Saarbrücken"
4,4,134,Fortuna Düsseldorf,Uwe Fuchs,23,Germania,Punta centrale,P,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/uwe-fuchs/profil/spieler/14831,"Fortuna Düsseldorf,1.FC Colonia"
8,8,138,SG Wattenscheid 09,Maurice Banach,22,Germania,Punta centrale,P,-,1.FC Colonia,Germania,600 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/maurice-banach/profil/spieler/92661,"SG Wattenscheid 09,1.FC Colonia"
19,19,149,Bayer 05 Uerdingen,Brian Laudrup,21,Danimarca,Ala destra,AD,-,FC Bayern Monaco,Germania,"3,00 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/brian-laudrup/profil/spieler/39667,"Bayer 05 Uerdingen,FC Bayern Monaco"
33,33,163,SV Werder Brema,Karl-Heinz Riedle,24,Germania,Punta centrale,P,-,SS Lazio,Italia,"7,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/karl-heinz-riedle/profil/spieler/13806,"SV Werder Brema,SS Lazio"
42,42,172,VfL Bochum,Jürgen Gredig,24,Germania,Difensore centrale,DC,-,FC Schalke 04,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jurgen-gredig/profil/spieler/91319,"VfL Bochum,FC Schalke 04"
43,43,173,VfB Stoccarda,Marco Kurz,21,Germania,Difensore centrale,DC,-,1. FC Norimberga,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/marco-kurz/profil/spieler/558,"VfB Stoccarda,1. FC Norimberga"
45,45,175,VfB Stoccarda,Gerhard Poschner,20,Germania,Mediano,M,-,Borussia Dortmund,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/gerhard-poschner/profil/spieler/1521,"VfB Stoccarda,Borussia Dortmund"
48,48,178,Karlsruher SC,Michael Sternkopf,20,Germania,Centrocampista di destra,CD,-,FC Bayern Monaco,Germania,"1,70 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-sternkopf/profil/spieler/155,"Karlsruher SC,FC Bayern Monaco"
49,49,179,Karlsruher SC,Fabrizio Hayer,21,Germania,Trequartista,TQ,-,1.FSV Magonza 05,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/fabrizio-hayer/profil/spieler/880,"Karlsruher SC,1.FSV Magonza 05"
56,56,186,Hertha BSC,Axel Kruse,23,Germania,Punta centrale,P,-,Eintracht Francoforte,Germania,550 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/axel-kruse/profil/spieler/6607,"Hertha BSC,Eintracht Francoforte"
68,68,198,Amburgo SV,Marcus Marin,23,Germania,Punta centrale,P,-,Stuttgarter Kickers,Germania,20 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/marcus-marin/profil/spieler/1541,"Amburgo SV,Stuttgarter Kickers"
70,70,200,Amburgo SV,Jörg Hoßbach,25,Germania,Portiere,POR,-,VfL Wolfsburg,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jorg-hossbach/profil/spieler/17124,"Amburgo SV,VfL Wolfsburg"
74,74,204,1.FC Kaiserslautern,Sergio Allievi,26,Germania,Trequartista,TQ,-,SG Dynamo Dresda,Germania,300 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sergio-allievi/profil/spieler/95330,"1.FC Kaiserslautern,SG Dynamo Dresda"
75,75,205,1.FC Kaiserslautern,Franco Foda,24,Germania,Libero,LIB,-,Bayer 04 Leverkusen,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/franco-foda/profil/spieler/40461,"1.FC Kaiserslautern,Bayer 04 Leverkusen"
77,77,207,1.FC Kaiserslautern,Karl-Heinz Emig,28,Germania,Libero,LIB,-,SpVgg Unterhaching,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/karl-heinz-emig/profil/spieler/97454,"1.FC Kaiserslautern,SpVgg Unterhaching"
80,80,210,1.FC Kaiserslautern,Michael Sommer,21,Germania,Centrocampo,Centrocampo,-,FC Energie Cottbus,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-sommer/profil/spieler/85986,"1.FC Kaiserslautern,FC Energie Cottbus"
81,81,211,1.FC Kaiserslautern,Wolfram Wuttke,28,Germania,Seconda punta,SP,-,RCD Espanyol Barcellona,Spagna,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/wolfram-wuttke/profil/spieler/85581,"1.FC Kaiserslautern,RCD Espanyol Barcellona"
85,85,215,FC Bayern Monaco,Radmilo Mihajlovic,26,Bosnia-Erzegovina,Punta centrale,P,-,FC Schalke 04,Germania,"1,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/radmilo-mihajlovic/profil/spieler/84658,"FC Bayern Monaco,FC Schalke 04"
86,86,216,FC Bayern Monaco,Hans Dorfner,25,Germania,Trequartista,TQ,-,1. FC Norimberga,Germania,"1,00 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-dorfner/profil/spieler/17945,"FC Bayern Monaco,1. FC Norimberga"
87,87,217,FC Bayern Monaco,Ludwig Kögl,24,Germania,Centrocampista di sinistra,CS,-,VfB Stoccarda,Germania,900 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/ludwig-kogl/profil/spieler/474,"FC Bayern Monaco,VfB Stoccarda"
88,88,218,FC Bayern Monaco,Thomas Kastenmaier,24,Germania,Terzino destro,TD,-,Borussia Mönchengladbach,Germania,400 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-kastenmaier/profil/spieler/84644,"FC Bayern Monaco,Borussia Mönchengladbach"
89,89,219,FC Bayern Monaco,Hans-Dieter Flick,25,Germania,Centrocampo,Centrocampo,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-dieter-flick/profil/spieler/87946,"FC Bayern Monaco,1.FC Colonia"
90,90,220,FC Bayern Monaco,Reinhold Daschner,20,Germania,Libero,LIB,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/reinhold-daschner/profil/spieler/967,"FC Bayern Monaco,1.FC Colonia"
91,91,221,Eintracht Francoforte,Dieter Eckstein,26,Germania,Punta centrale,P,-,1. FC Norimberga,Germania,"1,40 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dieter-eckstein/profil/spieler/17948,"Eintracht Francoforte,1. FC Norimberga"
92,92,222,Eintracht Francoforte,Jörn Andersen,27,Norvegia,Punta centrale,P,-,Fortuna Düsseldorf,Germania,600 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jorn-andersen/profil/spieler/3506,"Eintracht Francoforte,Fortuna Düsseldorf"
93,93,223,Eintracht Francoforte,Ralf Sievers,28,Germania,Mediano,M,-,FC St. Pauli,Germania,300 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/ralf-sievers/profil/spieler/84673,"Eintracht Francoforte,FC St. Pauli"
96,96,226,Eintracht Francoforte,Christian Heide,21,Germania,Centrocampo,Centrocampo,-,SV Darmstadt 98,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/christian-heide/profil/spieler/97895,"Eintracht Francoforte,SV Darmstadt 98"
